Date,Team,Acquired,Relinquished,Notes
2010-12-05,Raptors,,Peja Stojakovic,Knee
2010-12-05,Thunder,,D.J. White,Ankle
2010-12-05,Warriors,,Rodney Carney,Foot
2010-12-06,Magic,,Jameer Nelson,Stomach
2010-12-06,Bucks,,Drew Gooden,Foot
2010-12-08,Jazz,,Kyrylo Fesenko,Ankle
2010-12-08,Nuggets,,Carmelo Anthony,Knee
2010-12-08,Raptors,,Peja Stojakovic,Knee
2010-12-08,Timberwolves,,Darko Milicic,Quadriceps
2010-12-08,Wizards,,John Wall ,Foot
2010-12-09,Celtics,,Shaquille O'Neal,"Calf
Knee"
2010-12-10,Bobcats,,Tyrus Thomas,Quadriceps
2010-12-10,Hawks,,Zaza Pachulia,Ankle
2010-12-10,Jazz,,Raja Bell,Groin
2010-12-10,Raptors,,Jose Calderon,Foot
2010-12-10,Thunder,,Nenad Krstic,Back
2010-12-10,Warriors,,Stephen Curry,Ankle
2010-12-11,Cavaliers,,Ryan Hollins,Stomach
2010-12-11,Jazz,,Kyrylo Fesenko,Ankle
2010-12-11,Jazz,,Raja Bell,Abductor
2010-12-11,Nuggets,,Carmelo Anthony,Knee
2010-12-11,Raptors,,Peja Stojakovic,Knee
2010-12-12,Magic,,Chris Duhon,Back
2010-12-13,Grizzlies,Hamed Haddadi,,Ankle
2010-12-13,Jazz,,Raja Bell,Abductor
2010-12-13,Nets,,Damion James,Foot
2010-12-14,Kings,,Tyreke Evans,Foot
2010-12-14,Magic,,Mickael Pietrus,Knee
2010-12-14,Magic,,Quentin Richardson,Elbow
2010-12-14,Nuggets,,Chauncey Billups,Wrist
2010-12-14,Raptors,,Peja Stojakovic,Knee
2010-12-15,Bucks,,John Salmons,Back
2010-12-15,Bulls,,Joakim Noah,Thumb
2010-12-15,Celtics,,Shaquille O'Neal,Calf
2010-12-15,Raptors,,Andrea Bargnani,Knee
2010-12-15,Raptors,,Peja Stojakovic,Knee
2010-12-15,Wizards,,Jianlian Yi,Knee
2010-12-16,Bulls,,Joakim Noah,Thumb
2010-12-16,Celtics,,Rajon Rondo,Ankle
2010-12-16,Celtics,,Shaquille O'Neal,Calf
2010-12-16,Nets,,Anthony Morrow,Hamstring
2010-12-16,Nuggets,,Chauncey Billups,Wrist
2010-12-16,Rockets,,Yao Ming,Ankle
2010-12-16,Spurs,,Tiago Splitter,Adductor
2010-12-16,Wizards,,John Wallace,Knee
2010-12-17,Blazers,,Brandon Roy,Knee
2010-12-17,Raptors,,Sonny Weems,Lower back
2010-12-18,Blazers,,Brandon Roy,Knee
2010-12-18,Blazers,,Marcus Camby,Shoulder
2010-12-18,Blazers,,Nicolas Batum,Shoulder
2010-12-18,Nuggets,,Chauncey Billups,Wrist
2010-12-18,Spurs,,George Hill,Toe
2010-12-19,Celtics,,Rajon Rondo,Ankle
2010-12-19,Nets,,Quinton Ross,Back
2010-12-19,Pistons,,Richard Hamilton,Stomach
2010-12-19,Pistons,,Rodney Stuckey,Big Toe
2010-12-19,Raptors,,Andrea Bargnani,Ankle
2010-12-19,Raptors,,Sonny Weems,Back
2010-12-20,Blazers,,Brandon Roy,Knee
2010-12-20,Blazers,,Marcus Camby,Shoulder
2010-12-20,Clippers,,Craig Smith,Back
2010-12-20,Spurs,,George Hill,Toe
2010-12-20,Warriors,,Dan Gadzuric,Groin
2010-12-20,Bucks,,Carlos Delfino,Head
2010-12-21,Bucks,,Carlos Delfino,Head
2010-12-21,Bucks,,Drew Gooden,Foot
2010-12-21,Magic,,Malik Allen,Ankle
2010-12-21,Nets,,Quinton Ross,Lower back
2010-12-21,Warriors,,Dan Gadzuric,Groin
2010-12-22,Celtics,,Rajon Rondo,Ankle
2010-12-22,Nets,,Quinton Ross,Lower back
2010-12-22,Raptors,,Sonny Weems,Back
2010-12-22,Spurs,,George Hill,Toe
2010-12-23,Bucks,,Carlos Delfino,Head
2010-12-23,Bucks,,Drew Gooden,Foot
2010-12-23,Magic,,Daniel Orton,Knee
2010-12-23,Spurs,,George Hill,Toe
2010-12-25,Blazers,,Brandon Roy,Knee
2010-12-25,Celtics,,Semih Erden,Stomach
2010-12-25,Magic,,Jason Williams,Foot
2010-12-27,76ers,,Andre Iguodala,Achilles
2010-12-27,Blazers,,Brandon Roy,Knee
2010-12-27,Bucks,,Drew Gooden,Foot
2010-12-27,Magic,,Jason Williams,Foot
2010-12-27,Raptors,,Sonny Weems,Back
2010-12-28,Blazers,,Brandon Roy,Knee
2010-12-28,Blazers,,Marcus Camby,Ankle
2010-12-28,Bucks,,Drew Gooden,Foot
2010-12-28,Magic,,Jason Williams,Foot
2010-12-28,Raptors,,Jose Calderon,Ankle
2010-12-28,Raptors,,Sonny Weems,Back
2010-12-29,Cavaliers,,Mo Williams,Hip flexor
2010-12-29,Celtics,,Semih Erden,Respiratory
2010-12-29,Nuggets,,Kenyon Martin,Knee
2010-12-29,Nuggets,,Nene Hilario ,Hamstring
2010-12-30,Jazz,,C.J. Miles,Ankle
2010-12-30,Jazz,,Mehmet Okur,Back
2010-12-30,Magic,,Jason Williams,Foot
2010-12-30,Rockets,,Chuck Hayes,Ankle
2010-12-31,Cavaliers,,Anderson Varejao,Cheekbone
2010-12-31,Hawks,,Marvin Williams,Back
2010-12-31,Nets,,Jordan Farmar,Knee
2010-12-31,Raptors,,Sonny Weems,Back
2010-12-31,Warriors,,Brandan Wright,Back
2010-12-31,Celtics,,Rajon Rondo,Ankle
2011-01-01,Bucks,,Drew Gooden,Foot
2011-01-01,Cavaliers,,Daniel Gibson,Thigh
2011-01-01,Cavaliers,,Mo Williams,Hip flexor
2011-01-01,Grizzlies,,Rudy Gay,Stomach
2011-01-01,Grizzlies,,Xavier Henry,Knee
2011-01-01,Jazz,,C.J. Miles,Ankle
2011-01-01,Mavericks,,Shawn Marion,Thigh
2011-01-01,Nets,,Jordan Farmar,Knee
2011-01-02,Blazers,,Brandon Roy,Knee
2011-01-02,Knicks,,Timofey Mozgov,Shin
2011-01-02,Raptors,,Jerryd Bayless,Ankle
2011-01-02,Raptors,,Sonny Weems,Back
2011-01-03,76ers,,Spencer Hawes,Back
2011-01-03,Knicks,,Danilo Gallinari,Knee
2011-01-03,Pistons,,Chris Wilcox,Groin
2011-01-04,Bucks,,Drew Gooden,Foot
2011-01-04,Grizzlies,,O.J. Mayo,Lungs
2011-01-04,Grizzlies,,Xavier Henry,Knee
2011-01-04,Mavericks,,Caron Butler,Knee
2011-01-05,76ers,,Tony Battie,Shoulder
2011-01-05,Bobcats,,DeSagana Diop,Achilles
2011-01-05,Bobcats,,Stephen Jackson,Knee
