Date,Team,Acquired,Relinquished,Notes
2012-04-20,Celtics,,Paul Pierce,Ankle
2012-04-20,Celtics,,Rajon Rondo,Lower back
2012-04-20,Kings,,Hassan Whiteside,Ankle
2012-04-20,Kings,,Marcus Thornton ,Quadriceps
2012-04-20,Magic,,Dwight Howard,Back
2012-04-20,Warriors,,Andris Biedrins,Head
2012-04-20,Warriors,,David Lee,Groin
2012-04-21,Blazers,,Joel Przybilla,Lungs
2012-04-21,Blazers,,LaMarcus Aldridge,Hip
2012-04-21,Blazers,,Nicolas Batum,Quadriceps
2012-04-21,Bucks,,Carlos Delfino,Groin
2012-04-21,Grizzlies,,Zach Randolph,Ankle
2012-04-21,Jazz,,C.J. Miles,Ankle
2012-04-21,Jazz,,Earl Watson,Knee
2012-04-21,Magic,,Earl Clark,Knee
2012-04-21,Mavericks,,Jason Terry,Ankle
2012-04-21,Nets,,Deron Williams,Calf
2012-04-21,Nets,,Jordan Farmar,Groin
2012-04-21,Nets,,Shelden Williams,Knee
2012-04-21,Suns,,Grant Hill,Knee
2012-04-21,Warriors,,Andrew Bogut,Ankle
2012-04-21,Warriors,,Andris Biedrins,Head
2012-04-21,Warriors,,David Lee,Groin
2012-04-21,Warriors,,Dorell Wright,Ankle
2012-04-21,Wizards,,Trevor Booker,Foot
2012-04-22,Bobcats,,D.J. Augustine,Knee
2012-04-22,Bobcats,,Reggie Williams,Knee
2012-04-22,Heat,,Chris Bosh,Leg
2012-04-22,Heat,,Dwyane Wade,Index Finger
2012-04-22,Heat,,Mario Chalmers,nan
2012-04-22,Hornets,,Chris Kaman,Tibia
2012-04-22,Hornets,,Trevor Ariza,Ankle
2012-04-22,Kings,,Hassan Whiteside,Ankle
2012-04-22,Knicks,,Tyson Chandler,Ankle
2012-04-22,Nuggets,,Al Harrington,Knee
2012-04-22,Raptors,,Jose Calderon,Eye
2012-04-22,Rockets,,Kyle Lowry,Abdomen
2012-04-22,Timberwolves,,Darko Milicic,Hamstring
2012-04-22,Timberwolves,,Kevin Love,Head
2012-04-22,Timberwolves,,Malcom Lee,Ankle
2012-04-22,Warriors,,Andris Biedrins,Head
2012-04-22,Warriors,,David Lee,Groin
2012-04-23,Blazers,,Jamal Crawford,Knee
2012-04-23,Blazers,,Joel Przybilla,Lungs
2012-04-23,Blazers,,LaMarcus Aldridge,Hip
2012-04-23,Bucks,,Carlos Delfino,Groin
2012-04-23,Nets,,Deron Williams,Calf
2012-04-23,Nets,,Jordan Farmar,Groin
2012-04-23,Nets,,Shelden Williams,Knee
2012-04-23,Pacers,,George Hill,Shoulder
2012-04-23,Pacers,,Roy Hibbert,Ankle
2012-04-23,Raptors,,Jose Calderon,Eye
2012-04-23,Wizards,,Trevor Booker,Foot
2012-04-24,Celtics,,Greg Stiemsma,Foot
2012-04-24,Celtics,,Kevin Garnett,Hip
2012-04-24,Celtics,,Rajon Rondo,Lower back
2012-04-24,Heat,,Chris Bosh,Leg
2012-04-24,Heat,,Dwyane Wade,Index Finger
2012-04-24,Hornets,,Chris Kaman,Tibia
2012-04-24,Hornets,,Eric Gordon,Ankle
2012-04-24,Hornets,,Jason Smith,Ankle
2012-04-24,Hornets,,Trevor Ariza,Ankle
2012-04-24,Jazz,,Earl Watson,Knee
2012-04-24,Kings,,Hassan Whiteside,Ankle
2012-04-24,Kings,,Marcus Thornton ,Quadriceps
2012-04-24,Kings,,Terrence Williams,Ankle
2012-04-24,Spurs,,Gary Neal,Shoulder
2012-04-24,Suns,,Channing Frye,Shoulder
2012-04-24,Warriors,,Andris Biedrins,Head
2012-04-24,Warriors,,David Lee,Groin
2012-04-25,76ers,,Andre Iguodala,Ankle
2012-04-25,76ers,,Lou Williams,Ankle
2012-04-25,Bucks,,Carlos Delfino,Groin
2012-04-25,Bucks,,Drew Gooden,Ankle
2012-04-25,Bucks,,Ersan Ilyasova,Knee
2012-04-25,Bucks,,Monta Ellis,Hand
2012-04-25,Clippers,,Chris Paul,Groin
2012-04-25,Pacers,,Kyrylo Fesenko,Stomach
2012-04-25,Pacers,,Leandro Barbosa,Ankle
2012-04-25,Spurs,,Manu Ginobili,Ankle
2012-04-25,Spurs,,Gary Neal,Shoulder
2012-04-25,Suns,,Channing Frye,Shoulder
2012-04-25,Suns,,Grant Hill,Knee
2012-04-25,Warriors,,Stephen Curry,Ankle
2012-04-25,Wizards,,Jordan Crawford,Ankle
2012-04-25,Wizards,,Trevor Booker,Foot
2012-04-26,76ers,,Andre Iguodala,Ankle
2012-04-26,76ers,,Jrue Holiday,Ankle
2012-04-26,76ers,,Thaddeus Young,Ankle
2012-04-26,Blazers,,Jamal Crawford,Knee
2012-04-26,Blazers,,LaMarcus Aldridge,Hip
2012-04-26,Blazers,,Raymond Felton,Ankle
2012-04-26,Bobcats,,Derrick Brown,Ankle
2012-04-26,Bobcats,,Reggie Williams,Knee
2012-04-26,Bucks,,Carlos Delfino,Groin
2012-04-26,Bucks,,Drew Gooden,Ankle
2012-04-26,Bucks,,Ersan Ilyasova,Knee
2012-04-26,Bucks,,Monta Ellis,Hand
2012-04-26,Bulls,,Derrick Rose,Ankle
2012-04-26,Bulls,,Kyle Korver,Ankle
2012-04-26,Cavaliers,,Kyrie Irving,Ankle
2012-04-26,Cavaliers,,Omri Casspi,Knee
2012-04-26,Hawks,,Jannero Pargo,Back
2012-04-26,Hornets,,Chris Kaman,Tibia
2012-04-26,Hornets,,Gustavo Ayon,Head
2012-04-26,Hornets,,Trevor Ariza,Ankle
2012-04-26,Kings,,Hassan Whiteside,Ankle
2012-04-26,Knicks,,Baron Davis,Ankle
2012-04-26,Knicks,,Toney Douglas,Ankle
2012-04-26,Knicks,,Tyson Chandler,Ankle
2012-04-26,Lakers,,Andrew Bynum,Ankle
2012-04-26,Lakers,,Kobe Bryant,Ankle
2012-04-26,Lakers,,Pau Gasol,Ankle
2012-04-26,Magic,,J.J. Redick,Ankle
2012-04-26,Magic,,Jameer Nelson,Ankle
2012-04-26,Magic,,Jason Richardson,Ankle
2012-04-26,Magic,,Ryan Anderson,Ankle
2012-04-26,Nets,,Deron Williams,Calf
2012-04-26,Nets,,Gerald Wallace,Ankle
2012-04-26,Nets,,Jordan Farmar,Groin
2012-04-26,Nets,,Kris Humphries,Toe
2012-04-26,Nets,,Shelden Williams,Knee
2012-04-26,Raptors,,Jose Calderon,Eye
2012-04-26,Raptors,,Linas Kleiza,Ankle
2012-04-26,Rockets,,Chandler Parsons,Shoulder
2012-04-26,Rockets,,Kyle Lowry,Abdomen
2012-04-26,Spurs,,Gary Neal,Shoulder
2012-04-26,Spurs,,Kawhi Leonard,Ankle
2012-04-26,Warriors,,Andris Biedrins,Head
2012-04-26,Warriors,,Richard Jefferson,Ankle
2012-04-26,Wizards,,Jordan Crawford,Ankle
2012-04-26,Warriors,,David Lee,Abdomen
2012-04-26,Warriors,,David Lee,Abdomen
2012-04-28,Bulls,,Derrick Rose,Knee
2012-04-28,Knicks,,Iman Shumpert,Knee
2012-04-29,Clippers,,Caron Butler,Hand
2012-04-30,Knicks,,Amar'e Stoudemire,Hand
2012-04-30,Nuggets,,Wilson Chandler,Hip
2012-05-01,Rockets,,Kyle Lowry,Hernia
2012-05-02,Spurs,,Tiago Splitter,Wrist
2012-05-02,Suns,,Channing Frye,Shoulder
2012-05-03,Bucks,,Carlos Delfino,Hernia
2012-05-04,Hawks,,Josh Smith,Knee
2012-05-06,Bulls,,Joakim Noah,Ankle
2012-05-06,Knicks,,Baron Davis,Knee
2012-05-07,Bucks,,Luc Mbah a Moute,Knee
2012-05-08,Bulls,,Joakim Noah,Ankle
2012-05-10,Blazers,,LaMarcus Aldridge,Hip
2012-05-10,Bulls,,Joakim Noah,Ankle
2012-05-12,Bulls,,Derrick Rose,Knee
2012-05-15,Timberwolves,,Nikola Pekovic,Ankle
2012-05-16,Nuggets,,Al Harrington,Knee
2012-05-25,Celtics,,Avery Bradley,Shoulder
2012-06-12,Heat,,James Jones ,Head
2012-06-14,Celtics,,Mickael Pietrus,Knee
2012-06-14,Celtics,,Ray Allen,Ankle
2012-07-10,Heat,,Dwyane Wade,Knee
2012-07-11,Thunder,,Hollis Thompson,Groin
2012-07-12,Clippers,,Blake Griffin,Knee
2012-07-12,Thunder,,Kendrick Perkins,Groin
2012-07-14,Cavaliers,,Kyrie Irving,Hand
2012-07-16,Clippers,,Blake Griffin,Knee
2012-07-18,Cavaliers,,Kyrie Irving,Hand
2012-07-19,Thunder,,Kendrick Perkins,Wrist
2012-07-27,Hornets,,Austin Rivers,Ankle
2012-08-05,Hornets,,Robin Lopez,Knee
2012-08-21,Clippers,,Chris Paul,Thumb
2012-09-07,Knicks,,Ronnie Brewer,Knee
2012-09-11,Blazers,,Elliot Williams,Achilles
2012-09-14,Blazers,,Elliot Williams,Achilles
2012-09-20,Suns,,Channing Frye,Heart
2012-09-24,Lakers,,Steve Blake,Foot
2012-09-26,Grizzlies,,Darrell Arthur,Fibula
2012-09-28,Wizards,,John Wall ,Kneecap
2012-10-01,76ers,,Andrew Bynum,Knee
2012-10-10,Knicks,,Chris Smith ,Knee
2012-10-17,Timberwolves,,Kevin Love,Hand
2012-10-19,Mavericks,,Dirk Nowitzki,Knee
2012-10-21,Knicks,,Amar'e Stoudemire,Knee
2012-10-30,Bulls,,Derrick Rose,Knee
2012-10-30,Celtics,,Darko Milicic,Back
2012-10-30,Clippers,,Grant Hill,Knee
2012-10-30,Knicks,,Amar'e Stoudemire,Knee
2012-10-30,Knicks,,Iman Shumpert,Knee
2012-10-30,Mavericks,,Jared Cunningham,Thumb
2012-10-30,Nuggets,,Julyan Stone,Hip
2012-10-30,Pacers,,Danny Granger,Knee
2012-10-30,Spurs,,Manu Ginobili,Back
2012-10-30,Celtics,,Avery Bradley,Shoulder
2012-10-31,76ers,,Kwame Brown,Calf
2012-10-31,Kings,,Tyler Honeycutt,Leg
2012-10-31,Nuggets,,Danilo Gallinari,Ankle
2012-10-31,Warriors,,Andris Biedrins,Groin
2012-11-02,Knicks,,Marcus Camby,Calf
2012-11-02,Magic,,Gustavo Ayon,Thumb
2012-11-02,Magic,,Moe Harkless,Abdomen
2012-11-03,Hornets,,Anthony Davis,Head
2012-11-03,Nuggets,,Wilson Chandler,Hip
2012-11-03,Warriors,,Brandon Rush,Knee
2012-11-04,Hawks,,Josh Smith,Ankle
2012-11-04,Magic,,Jameer Nelson,Hamstring
2012-11-05,76ers,,Jason Richardson,Ankle
2012-11-06,Bobcats,,Gerald Henderson Jr.,Foot
2012-11-06,Magic,,Jameer Nelson,Hamstring
2012-11-06,Mavericks,,Shawn Marion,Knee
2012-11-07,76ers,,Jason Richardson,Ankle
2012-11-07,76ers,,Kwame Brown,Calf
2012-11-07,Hornets,,Anthony Davis,Head
2012-11-07,Hornets,,Austin Rivers,Index Finger
2012-11-07,Lakers,,Earl Clark,Groin
2012-11-07,Magic,,Jameer Nelson,Groin
2012-11-07,Mavericks,,Rodrigue Beaubois,Ankle
2012-11-07,Suns,,Kendall Marshall,Ankle
2012-11-09,76ers,,Jason Richardson,Ankle
2012-11-09,76ers,,Kwame Brown,Calf
2012-11-09,Magic,,DeQuan Jones,Groin
2012-11-09,Magic,,Jameer Nelson,Hamstring
2012-11-09,Timberwolves,,Jose Barea ,Foot
2012-11-10,76ers,,Jason Richardson,Ankle
2012-11-10,76ers,,Kwame Brown,Calf
2012-11-10,Jazz,,Mo Williams,Abductor
2012-11-10,Spurs,,DeJuan Blair,Knee
2012-11-10,Timberwolves,,Brandon Roy,Knee
2012-11-10,Timberwolves,,Jose Barea ,Foot
2012-11-10,Warriors,,Jeremy Tyler,Ankle
2012-11-11,Timberwolves,,Chase Budinger,Knee
2012-11-12,76ers,,Kwame Brown,Calf
2012-11-12,Timberwolves,,Brandon Roy,Knee
2012-11-12,Timberwolves,,Chase Budinger,Knee
2012-11-12,Timberwolves,,Jose Barea ,Foot
2012-11-13,Lakers,,Earl Clark,Groin
2012-11-13,Magic,,DeQuan Jones,Groin
2012-11-13,Magic,,Jameer Nelson,Hamstring
2012-11-13,Timberwolves,,Chase Budinger,Knee
2012-11-14,Hawks,,Al Horford,Stomach
2012-11-14,Hawks,,Devin Harris,Hamstring
2012-11-14,Timberwolves,,Brandon Roy,Knee
2012-11-14,Timberwolves,,Chase Budinger,Knee
2012-11-14,Timberwolves,,Jose Barea ,Foot
2012-11-14,Timberwolves,,Nikola Pekovic,Ankle
2012-11-15,Celtics,,Rajon Rondo,Ankle
2012-11-15,Nuggets,,Wilson Chandler,Hip
2012-11-15,Raptors,,Landry Fields,Elbow
2012-11-15,Spurs,,Gary Neal,Hand
2012-11-16,Cavaliers,,Luke Harangody,Knee
2012-11-16,Rockets,,Carlos Delfino,Groin
2012-11-16,Spurs,,Kawhi Leonard,Knee
2012-11-16,Timberwolves,,Brandon Roy,Knee
2012-11-16,Timberwolves,,Chase Budinger,Knee
2012-11-16,Timberwolves,,Jose Barea ,Foot
2012-11-16,Timberwolves,,Nikola Pekovic,Ankle
2012-11-17,Celtics,,Jason Collins,Ankle
2012-11-17,Mavericks,,Rodrigue Beaubois,Ankle
2012-11-17,Nuggets,,Anthony Randolph,Ankle
2012-11-17,Spurs,,Kawhi Leonard,Knee
2012-11-18,Cavaliers,,Daniel Gibson,Elbow
2012-11-18,Rockets,,Carlos Delfino,Groin
2012-11-19,Cavaliers,,Kyrie Irving,Index Finger
2012-11-19,Rockets,,Carlos Delfino,Groin
2012-11-19,Spurs,,Kawhi Leonard,Knee
2012-11-19,Spurs,,Stephen Jackson,Pinky Finger
2012-11-19,Timberwolves,,Brandon Roy,Knee
2012-11-19,Warriors,,Richard Jefferson,Calf
2012-11-20,Hornets,,Anthony Davis,Ankle
2012-11-21,Cavaliers,,Daniel Gibson,Elbow
2012-11-21,Clippers,,Caron Butler,Shoulder
2012-11-21,Heat,,Rashard Lewis,Ankle
2012-11-21,Hornets,,Anthony Davis,Ankle
2012-11-21,Rockets,,Carlos Delfino,Groin
2012-11-21,Rockets,,Cole Aldrich,Ankle
2012-11-21,Rockets,,Daequan Cook,Ankle
2012-11-21,Warriors,,Richard Jefferson,Calf
2012-11-23,Hornets,,Anthony Davis,Ankle
2012-11-23,Knicks,,Rasheed Wallace,Foot
2012-11-23,Rockets,,Carlos Delfino,Groin
2012-11-23,Rockets,,Cole Aldrich,Ankle
2012-11-23,Warriors,,Richard Jefferson,Calf
2012-11-24,Bobcats,,Bismack Biyombo,Leg
2012-11-24,Hawks,,DeShawn Stevenson,Knee
2012-11-24,Jazz,,Mo Williams,Foot
2012-11-24,Warriors,,Richard Jefferson,Calf
2012-11-25,Blazers,,LaMarcus Aldridge,Back
2012-11-25,Hornets,,Anthony Davis,Ankle
2012-11-26,Hornets,,Anthony Davis,Ankle
2012-11-26,Jazz,,Mo Williams,Foot
2012-11-26,Knicks,,Jason Kidd,Back
2012-11-26,Wizards,,Nene Hilario ,Foot
2012-11-26,Wizards,,Shaun Livingston,Shoulder
2012-11-27,Cavaliers,,Daniel Gibson,Elbow
2012-11-28,Bobcats,Bismack Biyombo,,Ankle
2012-11-28,Hornets,,Anthony Davis,Ankle
2012-11-28,Jazz,,Mo Williams,Foot
2012-11-28,Knicks,,Jason Kidd,Back
2012-11-28,Raptors,,Andrea Bargnani,Ankle
2012-11-28,Rockets,,Chandler Parsons,Shoulder
2012-11-28,Timberwolves,,Andrei Kirilenko,Back
2012-11-29,Nuggets,,Julyan Stone,Hip
2012-11-29,Spurs,,Tim Duncan,Ankle
2012-11-29,Warriors,,Richard Jefferson,Calf
2012-11-30,Grizzlies,,Tony Allen,Groin
2012-11-30,Jazz,,Marvin Williams,Head
2012-11-30,Kings,,Tyreke Evans,Knee
2012-11-30,Knicks,,Jason Kidd,Back
2012-11-30,Magic,,Jameer Nelson,Achilles
2012-11-30,Timberwolves,,Andrei Kirilenko,Back
2012-12-01,76ers,,Nick Young,Big Toe
2012-12-01,Bucks,,Beno Udrih,Ankle
2012-12-01,Hornets,,Anthony Davis,Ankle
2012-12-01,Jazz,,Derrick Favors,Arch
2012-12-01,Jazz,,Marvin Williams,Head
2012-12-01,Kings,,Tyreke Evans,Knee
2012-12-01,Warriors,,Richard Jefferson,Calf
2012-12-02,Bulls,,Richard Hamilton,Foot
2012-12-02,Knicks,,Marcus Camby,Foot
2012-12-02,Suns,,Jermaine O'Neal,Quadricep
2012-12-03,Cavaliers,,Dion Waiters,Ankle
2012-12-03,Clippers,,Willie Green,Knee
2012-12-03,Hornets,,Anthony Davis,Ankle
2012-12-03,Jazz,,Derrick Favors,Foot
2012-12-03,Jazz,,Marvin Williams,Head
2012-12-03,Lakers,,Steve Blake,Abdomen
2012-12-03,Raptors,,Linas Kleiza,Hip
2012-12-03,Warriors,,Richard Jefferson,Calf
2012-12-04,76ers,,Nick Young,Big toe
2012-12-04,Lakers,,Pau Gasol,Knees
2012-12-04,Timberwolves,,Andrei Kirilenko,Back
2012-12-05,Hornets,,Anthony Davis,Ankle
2012-12-05,Jazz,,Derrick Favors,Foot
2012-12-05,Knicks,,Marcus Camby,Foot
2012-12-05,Lakers,,Pau Gasol,Knees
2012-12-05,Spurs,,Danny Green,Hamstring
2012-12-05,Spurs,,Patty Mills,Ankle
2012-12-05,Timberwolves,,Andrei Kirilenko,Back
2012-12-06,Knicks,,Carmelo Anthony,Finger
2012-12-06,Knicks,,Marcus Camby,Foot
2012-12-07,76ers,,Kwame Brown,Stomach
2012-12-07,76ers,,Nick Young,Big Toe
2012-12-07,76ers,,Royal Ivey,Groin
2012-12-07,Celtics,,Leandro Barbosa,Ankle
2012-12-07,Hornets,,Anthony Davis,Ankle
2012-12-07,Jazz,,Al Jefferson,Back
2012-12-07,Jazz,,Derrick Favors,Foot
2012-12-07,Kings,,Tyreke Evans,Knee
2012-12-07,Lakers,,Pau Gasol,Knees
2012-12-07,Wizards,,Trevor Ariza,Calf
2012-12-08,76ers,,Nick Young,Big toe
2012-12-08,76ers,,Royal Ivey,Groin
2012-12-08,Hawks,,DeShawn Stevenson,Ankle
2012-12-08,Hornets,,Anthony Davis,Ankle
2012-12-08,Kings,,Tyreke Evans,Knee
2012-12-08,Knicks,,Carmelo Anthony,Finger
2012-12-08,Spurs,,DeJuan Blair,Ankle
2012-12-08,Suns,,P.J. Tucker,Knee
2012-12-08,Wizards,,Trevor Ariza,Calf
2012-12-09,Jazz,,Derrick Favors,Foot
2012-12-09,Knicks,,Marcus Camby,Foot
2012-12-09,Knicks,,Rasheed Wallace,Foot
2012-12-09,Lakers,,Pau Gasol,Knees
2012-12-09,Raptors,,Mickael Pietrus,Knee
2012-12-09,Suns,,Goran Dragic,Ankle
2012-12-10,76ers,,Damien Wilkins,Calf
2012-12-10,76ers,,Royal Ivey,Groin
2012-12-10,Blazers,,Wes Matthews Jr.,Hip
2012-12-10,Kings,,Tyreke Evans,Knee
2012-12-10,Mavericks,,Dominique Jones,Ankle
2012-12-10,Raptors,,Linas Kleiza,Knee
2012-12-10,Rockets,,James Harden,Ankle
2012-12-11,Knicks,,Marcus Camby,Foot
2012-12-11,Lakers,,Pau Gasol,Knees
2012-12-11,Wizards,,A.J. Price,Hand
2012-12-11,Wizards,,Trevor Ariza,Calf
2012-12-12,76ers,,Damien Wilkins,Calf
2012-12-12,76ers,,Royal Ivey,Throat
2012-12-12,Bucks,,Larry Sanders ,Ankle
2012-12-12,Bulls,,Kirk Hinrich,Knee
2012-12-12,Cavaliers,,Omri Casspi,Intestines
2012-12-12,Mavericks,,Jae Crowder,Ankle
2012-12-12,Raptors,,Kyle Lowry,Triceps
2012-12-12,Raptors,,Linas Kleiza,Knee
2012-12-12,Timberwolves,,Josh Howard,Ankle
2012-12-12,Wizards,,A.J. Price,Hand
2012-12-12,Wizards,,Trevor Ariza,Calf
2012-12-13,Knicks,,Marcus Camby,Foot
2012-12-13,Lakers,,Pau Gasol,Knees
2012-12-14,76ers,,Jrue Holiday,Foot
2012-12-14,Bucks,,Mike Dunleavy Jr.,Knee
2012-12-14,Hornets,,Jason Smith,Shoulder
2012-12-14,Lakers,,Jordan Hill,Back
2012-12-14,Lakers,,Pau Gasol,Knees
2012-12-14,Pacers,,Lance Stephenson,Ankle
2012-12-14,Timberwolves,,Malcom Lee,Knee
2012-12-14,Wizards,,A.J. Price,Hand
2012-12-14,Wizards,,Trevor Ariza,Calf
2012-12-15,Bulls,,Kirk Hinrich,Knee
2012-12-15,Cavaliers,,Omri Casspi,Intestines
2012-12-15,Grizzlies,,Darrell Arthur,Head
2012-12-15,Knicks,,Carmelo Anthony,Ankle
2012-12-15,Knicks,,Marcus Camby,Foot
2012-12-15,Knicks,,Rasheed Wallace,Foot
2012-12-15,Pacers,,Lance Stephenson,Ankle
2012-12-15,Timberwolves,,Josh Howard,Knee
2012-12-15,Timberwolves,,Kevin Love,Thumb
2012-12-15,Timberwolves,,Malcom Lee,Knee
2012-12-15,Warriors,,Festus Ezeli,Knee
2012-12-15,Wizards,,Nene Hilario ,Foot
2012-12-16,76ers,,Jrue Holiday,Foot
2012-12-16,Lakers,,Jordan Hill,Back
2012-12-16,Lakers,,Pau Gasol,Knees
2012-12-16,Rockets,,Patrick Patterson,Foot
2012-12-17,Kings,,Tyreke Evans,Knee
2012-12-17,Knicks,,Carmelo Anthony,Ankle
2012-12-17,Knicks,,Marcus Camby,Foot
2012-12-17,Pistons,,Rodney Stuckey,Back
2012-12-17,Rockets,,Patrick Patterson,Foot
2012-12-17,Spurs,,Manu Ginobili,Quadricep
2012-12-17,Timberwolves,,Josh Howard,Knee
2012-12-17,Timberwolves,,Malcom Lee,Knee
2012-12-18,76ers,,Jrue Holiday,Foot
2012-12-18,Heat,,Terrel Harris,Ankle
2012-12-18,Mavericks,,Elton Brand,Groin
2012-12-18,Timberwolves,,Josh Howard,Knee
2012-12-18,Timberwolves,,Malcom Lee,Knee
2012-12-18,Timberwolves,,Ricky Rubio,Knee
2012-12-18,Wizards,,A.J. Price,Hand
2012-12-18,Wizards,,Trevor Ariza,Calf
2012-12-19,76ers,,Jrue Holiday,Foot
2012-12-19,Cavaliers,,Daniel Gibson,Ankle
2012-12-19,Celtics,,Chris Wilcox,Thumb
2012-12-19,Knicks,,Marcus Camby,Foot
2012-12-19,Knicks,,Rasheed Wallace,Foot
2012-12-19,Knicks,,Steve Novak,Ankle
2012-12-19,Rockets,,Patrick Patterson,Foot
2012-12-19,Wizards,,Bradley Beal,Back
2012-12-20,Blazers,,LaMarcus Aldridge,Ankle
2012-12-20,Magic,,Glen Davis,Shoulder
2012-12-20,Mavericks,,Brandan Wright,Ankle
2012-12-20,Mavericks,,Derek Fisher,Knee
2012-12-20,Mavericks,,Elton Brand,Groin
2012-12-20,Thunder,,Kevin Martin,Quadriceps
2012-12-20,Timberwolves,,Malcom Lee,Knee
2012-12-20,Timberwolves,,Josh Howard,Knee
2012-12-21,Bobcats,,Ben Gordon,Knee
2012-12-21,Celtics,,Chris Wilcox,Thumb
2012-12-21,Kings,,Francisco Garcia,Lower Back
2012-12-21,Knicks,,Marcus Camby,Foot
2012-12-21,Knicks,,Rasheed Wallace,Foot
2012-12-21,Magic,,Glen Davis,Shoulder
2012-12-21,Mavericks,,Elton Brand,Groin
2012-12-21,Raptors,,Jonas Valanciunas,Ring Finger
2012-12-21,Wizards,,A.J. Price,Hand
2012-12-21,Wizards,,Bradley Beal,Back
2012-12-21,Wizards,,Nene Hilario ,Foot
2012-12-21,Wizards,,Trevor Ariza,Calf
2012-12-22,Bobcats,,Ben Gordon,Knee
2012-12-22,Bobcats,,Gerald Henderson Jr.,Shin
2012-12-22,Grizzlies,,Tony Wroten Jr.,Head
2012-12-22,Wizards,,A.J. Price,Hand
2012-12-22,Wizards,,Trevor Ariza,Calf
2012-12-23,Blazers,,Wes Matthews Jr.,Hip
2012-12-23,Bobcats,,B.J. Mullens,Ankle
2012-12-23,Jazz,,Mo Williams,Thumb
2012-12-23,Jazz,,Mo Williams,Thumb
2012-12-23,Kings,,Francisco Garcia,Lower back
2012-12-23,Knicks,,Marcus Camby,Foot
2012-12-23,Knicks,,Rasheed Wallace,Foot
2012-12-23,Magic,,Glen Davis,Shoulder
2012-12-23,Timberwolves,,Kevin Love,Eye
2012-12-23,Timberwolves,,Malcom Lee,Knee
2012-12-25,Knicks,,Rasheed Wallace,Foot
2012-12-26,76ers,,Jason Richardson,Lower Back
2012-12-26,Jazz,,Mo Williams,Thumb
2012-12-26,Knicks,,Carmelo Anthony,Knee
2012-12-26,Knicks,,Rasheed Wallace,Foot
2012-12-26,Knicks,,Raymond Felton,Pinky finger
2012-12-26,Magic,,Glen Davis,Shoulder
2012-12-26,Nets,,Deron Williams,Wrist
2012-12-26,Spurs,,Gary Neal,Calf
2012-12-26,Timberwolves,,Malcom Lee,Knee
2012-12-27,Celtics,,Chris Wilcox,Thumb
2012-12-28,Hawks,,DeShawn Stevenson,Knee
2012-12-28,Hawks,,Ivan Johnson,Ankle
2012-12-28,Jazz,,Mo Williams,Thumb
2012-12-28,Knicks,,Carmelo Anthony,Knee
2012-12-28,Knicks,,Rasheed Wallace,Foot
2012-12-28,Knicks,,Raymond Felton,Pinky Finger
2012-12-28,Magic,,Glen Davis,Shoulder
2012-12-28,Pacers,,Sam Young,Ankle
2012-12-28,Rockets,,Carlos Delfino,Ankle
2012-12-28,Spurs,,Gary Neal,Calf
2012-12-28,Wizards,,A.J. Price,Hand
2012-12-28,Wizards,,Trevor Ariza,Calf
2012-12-29,Celtics,,Rajon Rondo,Hip
2012-12-29,Hawks,,Anthony Morrow,Hip
2012-12-29,Hawks,,Josh Smith,Hip flexor
2012-12-29,Magic,,E'Twaun Moore,Elbow
2012-12-29,Magic,,Jameer Nelson,Hip
2012-12-29,Pacers,,Sam Young,Ankle
2012-12-29,Rockets,,Carlos Delfino,Ankle
2012-12-29,Timberwolves,,Malcom Lee,Knee
2012-12-29,Timberwolves,,Ricky Rubio,Back
2012-12-29,Wizards,,A.J. Price,Hand
2012-12-29,Wizards,,Jordan Crawford,Ankle
2012-12-29,Wizards,,Trevor Ariza,Calf
2012-12-30,Celtics,,Chris Wilcox,Thumb
2012-12-30,Jazz,,Marvin Williams,Knee
2012-12-30,Jazz,,Mo Williams,Thumb
2012-12-30,Kings,,Aaron Brooks,Ankle
2012-12-30,Spurs,,Gary Neal,Calf
2012-12-31,Bobcats,,Michael Kidd-Gilchrist,Cornea
2012-12-31,Bulls,,Kirk Hinrich,Knee
2012-12-31,Magic,,E'Twaun Moore,Elbow
2012-12-31,Magic,,Gustavo Ayon,Thigh
2012-12-31,Magic,,Jameer Nelson,Hip
2012-12-31,Pacers,,George Hill,Groin
2012-12-31,Spurs,,Gary Neal,Calf
2013-01-01,Hawks,,Anthony Morrow,Hip
2013-01-01,Kings,,Marcus Thornton ,Ankle
2013-01-01,Knicks,,Rasheed Wallace,Foot
2013-01-01,Lakers,,Chris Duhon,Back
2013-01-01,Nuggets,,Ty Lawson,Achilles
2013-01-01,Wizards,,A.J. Price,Hand
2013-01-01,Wizards,,Trevor Ariza,Calf
2013-01-02,Bulls,,Joakim Noah,Ankle
2013-01-02,Bulls,,Vladimir Radmanovic,Ankle
2013-01-02,Celtics,,Kris Joseph,Ankle
2013-01-02,Hornets,,Eric Gordon,Knee
2013-01-02,Jazz,,Mo Williams,Thumb
2013-01-02,Jazz,,Mo Williams,Thumb
2013-01-02,Kings,,Marcus Thornton ,Ankle
2013-01-02,Magic,,E'Twaun Moore,Elbow
2013-01-02,Nets,,C.J. Watson,Knee
2013-01-02,Raptors,,Linas Kleiza,Knee
2013-01-02,Timberwolves,,Malcom Lee,Knee
2013-01-02,Timberwolves,,Ricky Rubio,Back
2013-01-02,Wizards,,A.J. Price,Hand
2013-01-02,Wizards,,Trevor Ariza,Calf
